,img_name,noise_scale,corr,noise_idx,mat_filename,mat_key
387,imk00177.iml,0.5,0.9877821538042078,2,imk00177.iml.mat,noise_2
388,imk00177.iml,0.8,0.9876059201993929,3,imk00177.iml.mat,noise_3
389,imk00177.iml,1.0,0.9781631150844736,4,imk00177.iml.mat,noise_4
390,imk04098.iml,0.1,0.9563640318538232,0,imk04098.iml.mat,noise_0
391,imk04098.iml,0.2,0.9563559366828479,1,imk04098.iml.mat,noise_1
392,imk04098.iml,0.5,0.9747440609179594,2,imk04098.iml.mat,noise_2
393,imk04098.iml,0.8,0.9745882648285839,3,imk04098.iml.mat,noise_3
394,imk04098.iml,1.0,0.9751037404079117,4,imk04098.iml.mat,noise_4
405,imk01019.iml,0.1,0.9612571315962704,0,imk01019.iml.mat,noise_0
406,imk01019.iml,0.2,0.9608372028869442,1,imk01019.iml.mat,noise_1
407,imk01019.iml,0.5,0.9609431991818734,2,imk01019.iml.mat,noise_2
408,imk01019.iml,0.8,0.9611989211943496,3,imk01019.iml.mat,noise_3
409,imk01019.iml,1.0,0.9612033188807358,4,imk01019.iml.mat,noise_4
415,imk00071.iml,0.1,0.953364512144425,0,imk00071.iml.mat,noise_0
416,imk00071.iml,0.2,0.9531183583353692,1,imk00071.iml.mat,noise_1
417,imk00071.iml,0.5,0.9529697879662299,2,imk00071.iml.mat,noise_2
418,imk00071.iml,0.8,0.9528821308197116,3,imk00071.iml.mat,noise_3
419,imk00071.iml,1.0,0.9528508466797736,4,imk00071.iml.mat,noise_4
420,imk00298.iml,0.1,0.9699952804334376,0,imk00298.iml.mat,noise_0
421,imk00298.iml,0.2,0.9691229999309828,1,imk00298.iml.mat,noise_1
422,imk00298.iml,0.5,0.9695199867699109,2,imk00298.iml.mat,noise_2
423,imk00298.iml,0.8,0.9694144581368399,3,imk00298.iml.mat,noise_3
424,imk00298.iml,1.0,0.9692215969294836,4,imk00298.iml.mat,noise_4
425,imk01178.iml,0.1,0.9779462777350741,0,imk01178.iml.mat,noise_0
426,imk01178.iml,0.2,0.9779317866538534,1,imk01178.iml.mat,noise_1
427,imk01178.iml,0.5,0.9777280720086287,2,imk01178.iml.mat,noise_2
428,imk01178.iml,0.8,0.9777577064086126,3,imk01178.iml.mat,noise_3
429,imk01178.iml,1.0,0.9779056654508049,4,imk01178.iml.mat,noise_4
430,imk00272.iml,0.1,0.9819418720287917,0,imk00272.iml.mat,noise_0
431,imk00272.iml,0.2,0.9821004739277132,1,imk00272.iml.mat,noise_1
432,imk00272.iml,0.5,0.982016313453921,2,imk00272.iml.mat,noise_2
433,imk00272.iml,0.8,0.9819944330212168,3,imk00272.iml.mat,noise_3
434,imk00272.iml,1.0,0.9691237675924681,4,imk00272.iml.mat,noise_4
450,imk00063.iml,0.1,0.9759433058416704,0,imk00063.iml.mat,noise_0
451,imk00063.iml,0.2,0.9756492839997987,1,imk00063.iml.mat,noise_1
452,imk00063.iml,0.5,0.9757549841286394,2,imk00063.iml.mat,noise_2
453,imk00063.iml,0.8,0.9758456398615746,3,imk00063.iml.mat,noise_3
454,imk00063.iml,1.0,0.9755257044033423,4,imk00063.iml.mat,noise_4
455,imk00077.iml,0.1,0.9767131330140862,0,imk00077.iml.mat,noise_0
456,imk00077.iml,0.2,0.9770619651772343,1,imk00077.iml.mat,noise_1
457,imk00077.iml,0.5,0.9767199194247851,2,imk00077.iml.mat,noise_2
458,imk00077.iml,0.8,0.976927779556632,3,imk00077.iml.mat,noise_3
459,imk00077.iml,1.0,0.9768002005176646,4,imk00077.iml.mat,noise_4
480,imk00074.iml,0.1,0.9714327594015316,0,imk00074.iml.mat,noise_0
481,imk00074.iml,0.2,0.9715503719077162,1,imk00074.iml.mat,noise_1
482,imk00074.iml,0.5,0.9831246078434028,2,imk00074.iml.mat,noise_2
483,imk00074.iml,0.8,0.9831753158329394,3,imk00074.iml.mat,noise_3
484,imk00074.iml,1.0,0.9831778731137903,4,imk00074.iml.mat,noise_4
485,imk00060.iml,0.1,0.965927440946593,0,imk00060.iml.mat,noise_0
486,imk00060.iml,0.2,0.9661495083081284,1,imk00060.iml.mat,noise_1
487,imk00060.iml,0.5,0.9656153662467942,2,imk00060.iml.mat,noise_2
488,imk00060.iml,0.8,0.9658902472238984,3,imk00060.iml.mat,noise_3
489,imk00060.iml,1.0,0.9662038487273068,4,imk00060.iml.mat,noise_4
490,imk00262.iml,0.1,0.9779997690129064,0,imk00262.iml.mat,noise_0
491,imk00262.iml,0.2,0.9781295790679804,1,imk00262.iml.mat,noise_1
492,imk00262.iml,0.5,0.9780490424302675,2,imk00262.iml.mat,noise_2
493,imk00262.iml,0.8,0.9784570492479303,3,imk00262.iml.mat,noise_3
494,imk00262.iml,1.0,0.977992353552339,4,imk00262.iml.mat,noise_4
500,imk00061.iml,0.1,0.9619021919409865,0,imk00061.iml.mat,noise_0
501,imk00061.iml,0.2,0.9613062042996365,1,imk00061.iml.mat,noise_1
502,imk00061.iml,0.5,0.9618634183198218,2,imk00061.iml.mat,noise_2
503,imk00061.iml,0.8,0.9614415074505156,3,imk00061.iml.mat,noise_3
504,imk00061.iml,1.0,0.9615216223562854,4,imk00061.iml.mat,noise_4
